NODENAME;AVG.FREQ;DEF.FREQ;TIME;CPI;TPI;GBS;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512;FIRST_EVENT;LEVEL;SIZE;ITERATIONS
cmp2544;2088000;2100000;1.001309;0.345470;0.023766;0.132666;225.575931;12.261037;180.350324;20733737093;60016095474;0.000000;0;0;0;0;0;0;0;69;0;0;0;1;1;1;70
cmp2550;984000;2100000;1.001770;0.347513;0.049466;0.129516;149.105369;9.987521;110.048855;9787142811;28163395715;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;70
cmp2549;984000;2100000;1.001706;0.349402;0.050146;0.130599;143.107858;11.566640;103.944972;9787318407;28011612205;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;70
cmp2539;984000;2100000;1.001713;0.355917;0.050791;0.129891;153.526425;12.421465;114.500698;9789923876;27506198692;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;70
cmp2540;984000;2100000;1.001654;0.346686;0.056578;0.148506;139.129638;11.388513;112.870011;9787077489;28230359617;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;70
cmp2552;1095900;2100000;1.001491;0.345610;0.038968;0.102764;131.229484;10.293049;92.315171;9800881811;28358252310;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;70
cmp2538;984000;2100000;1.001716;0.346455;0.056962;0.149663;122.519793;13.286697;111.780088;9790933055;28260300009;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;70
cmp2551;984000;2100000;1.003301;0.345711;0.049159;0.129487;151.064107;12.600694;112.971614;9809953086;28376187990;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;70
cmp2543;2088600;2100000;1.001282;0.349962;0.022864;0.126054;212.911932;13.267272;189.267054;20743770458;59274291670;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;80
cmp2544;2088000;2100000;1.001209;0.345444;0.023092;0.128876;229.292916;12.254542;180.422739;20725947450;59997999925;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;80
cmp2550;984000;2100000;1.001570;0.347428;0.046396;0.121488;149.427184;9.989994;110.076522;9783669031;28160240644;0.000000;0;0;0;0;0;0;0;26;0;0;0;1;1;1;80
cmp2549;984000;2100000;1.001607;0.349438;0.048196;0.125535;128.562551;11.568453;103.969852;9788493742;28012111081;0.000000;0;0;0;0;0;0;0;26;0;0;0;1;1;1;80
cmp2540;984000;2100000;1.001754;0.345656;0.048805;0.128521;154.373982;11.376974;112.712693;9790727600;28325045228;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;80
cmp2552;1095900;2100000;1.001691;0.345543;0.037094;0.097785;131.190405;10.315878;92.466576;9797089782;28352754095;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;80
